"City,State"	Cost of Living Index	X	Y
Montgomery,AL	88.5	435	104
Anchorage,AK	110.7	97	40
Phoenix,AZ	104.3	147	133
LittleRock,AR	88	368	132
Sacramento,CA	120.3	64	216
Denver,CO	112.1	235	203
Hartford,CT	104.8	561	254
Dover,DE	101.3	541	213
Tallahassee,FL	96.4	463	80
Atlanta,GA	100.3	457	127
Honolulu,HI	158	191	40
Boise,ID	100.3	136	274
Springfield,IL	87.5	391	204
Indianapolis,IN	90.2	429	204
DesMoines,IA	91.7	355	226
Topeka,KS	85.6	333	189
Frankfort,KY	88.1	446	184
BatonRouge,LA	91.1	383	73
Augusta,ME	100	577	294
DC,MD	120.1	526	207
Boston,MA	132.6	572	266
Lansing,MI	88.7	439	245
Minneapolis,MN	105.4	356	272
Jackson,MS	87.4	397	96
JeffersonCity,MO	86.3	367	183
Helena,MT	104.2	182	304
Lincoln,NE	94.7	319	217
CarsonCity,NV	103	92	226
Concord,NH	108.3	564	279
Trenton,NJ	104.3	546	231
SantaFe,NM	105.1	220	151
Albany,NY	100.1	542	266
Raleigh,NC	99.7	512	162
Bismarck,ND	93.1	285	300
Columbus,OH	93.9	461	214
OklahomaCity,OK	87.3	312	141
Salem,OR	105.8	74	306
Harrisburg,PA	95.8	523	231
Providence,RI	111.5	572	258
Columbia,SC	91.9	498	133
SiouxFalls,SD	92.8	319	249
Nashville,TN	100.1	432	156
Austin,TX	106.6	315	69
SaltLakeCity,UT	105.9	166	224
Burlington,VT	112.8	547	290
Richmond,VA	99.2	524	188
Olympia,WA	110.9	81	332
Charleston,WV	83.9	476	192
Madison,WI	99.5	394	249
Cheyenne,WY	96.9	238	227
